Cliente_ID,Genero,Adulto_Mayor,Pareja,Cargas,Meses_Permanencia,Servicio_Telefonico,Multiples_Lineas,Servicio_Internet,Seguridad_Online,Respaldo_Online,Proteccion_Dispositivos,Soporte_Tecnico,Streaming_TV,Streaming_Peliculas,Contrato,Facturacion_Electronica,Metodo_Pago,Fuga,Cargo_Mensual,Cargo_Total,Comuna
3253-HKOKL,Femenino,0,Si,Si,52,Si,No,Fibra Optica,Si,No,Si,No,Si,Si,Plan 12 Meses,No,Transferencia/Webpay,No,50150.0,2622225.0,Concepcion
7055-HNEOJ,Masculino,0,Si,No,3,Si,No,ADSL/Cobre,No,No,Si,Si,No,No,Sin Contrato/Prepago,Si,Caja Vecina/Servipag,No,27900.0,77275.0,Talcahuano
5514-YQENT,Masculino,0,No,Si,41,Si,No,Fibra Optica,Si,Si,Si,Si,Si,Si,Plan 24 Meses,Si,Transferencia/Webpay,No,55575.0,2253575.0,Chiguayante
3211-AAPKX,Masculino,0,No,No,20,Si,Si,Fibra Optica,No,No,No,Si,Si,Si,Sin Contrato/Prepago,Si,Caja Vecina/Servipag,No,49275.0,1015975.0,Concepcion
8445-DNBAE,Masculino,0,No,Si,1,Si,Si,ADSL/Cobre,No,No,No,No,No,No,Sin Contrato/Prepago,Si,Transferencia/Webpay,No,25025.0,25025.0,San Pedro de la Paz
2951-QOQTK,Masculino,0,No,Si,4,Si,Si,Fibra Optica,No,No,No,Si,No,No,Sin Contrato/Prepago,No,PAT (Tarjeta Credito),Si,40400.0,166225.0,Concepcion
2958-NHPPS,Masculino,0,No,No,23,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin Contrato/Prepago,No,Transferencia/Webpay,No,10425.0,236950.0,Hualpen
6806-YDEUL,Femenino,1,No,No,6,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin Contrato/Prepago,No,PAC (Cta Cte),No,9750.0,53400.0,Hualpen
1735-XMJVH,Masculino,0,Si,Si,8,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin Contrato/Prepago,Si,Caja Vecina/Servipag,No,9675.0,76300.0,Talcahuano
6890-PFRQX,Masculino,0,No,No,18,Si,Si,ADSL/Cobre,Si,No,Si,No,Si,No,Sin Contrato/Prepago,No,Caja Vecina/Servipag,No,34750.0,599700.0,Talcahuano
0222-CNVPT,Masculino,1,No,No,52,No,Sin linea,ADSL/Cobre,Si,No,No,No,Si,Si,Sin Contrato/Prepago,Si,PAT (Tarjeta Credito),No,24400.0,1277525.0,Hualpen
5899-OUVKV,Masculino,0,No,No,31,Si,No,Fibra Optica,No,Si,No,No,Si,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,No,47250.0,1489600.0,Chiguayante
8681-ICONS,Masculino,0,Si,Si,29,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin Contrato/Prepago,Si,Caja Vecina/Servipag,No,10325.0,327425.0,Talcahuano
1621-YNCJH,Femenino,0,Si,No,36,Si,Si,Fibra Optica,Si,Si,Si,Si,No,Si,Plan 24 Meses,Si,PAT (Tarjeta Credito),No,53025.0,1917200.0,Talcahuano
3473-XIIIT,Femenino,0,Si,No,16,Si,Si,Fibra Optica,No,Si,No,No,Si,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,50000.0,767375.0,San Pedro de la Paz
6362-QHAFM,Masculino,0,Si,No,42,Si,Si,Fibra Optica,No,No,Si,Si,Si,Si,Plan 12 Meses,Si,Transferencia/Webpay,No,54150.0,2293075.0,San Pedro de la Paz
7893-IXHRQ,Masculino,0,No,No,1,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin Contrato/Prepago,No,Transferencia/Webpay,Si,10275.0,10275.0,Talcahuano
3070-BDOQC,Femenino,0,No,No,60,Si,No,Fibra Optica,No,Si,Si,No,Si,Si,Plan 24 Meses,Si,Transferencia/Webpay,No,49825.0,2970525.0,Concepcion
2952-QAYZF,Masculino,0,No,No,5,Si,Si,Fibra Optica,No,Si,Si,No,No,No,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,42650.0,212075.0,Concepcion
6234-PFPXL,Masculino,0,Si,No,22,Si,Si,Fibra Optica,Si,No,No,Si,Si,No,Sin Contrato/Prepago,No,PAT (Tarjeta Credito),No,47950.0,1117475.0,San Pedro de la Paz
9824-QCJPK,Masculino,0,Si,No,36,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 12 Meses,No,Caja Vecina/Servipag,No,10000.0,333375.0,Talcahuano
4763-PGDPO,Femenino,0,No,No,4,Si,No,Fibra Optica,No,No,No,No,No,No,Sin Contrato/Prepago,No,Transferencia/Webpay,Si,35200.0,140500.0,Concepcion
4283-IVYCI,Masculino,0,No,No,9,Si,No,ADSL/Cobre,Si,No,No,Si,No,Si,Sin Contrato/Prepago,No,Caja Vecina/Servipag,No,32475.0,273900.0,Talcahuano
1866-OBPNR,Masculino,0,Si,Si,1,Si,No,Fibra Optica,No,Si,No,No,No,No,Sin Contrato/Prepago,No,PAT (Tarjeta Credito),No,37300.0,37300.0,Concepcion
8205-MQUGY,Masculino,0,Si,Si,12,Si,No,ADSL/Cobre,Si,No,No,No,No,No,Sin Contrato/Prepago,Si,Transferencia/Webpay,No,24600.0,285575.0,San Pedro de la Paz
8970-ANWXO,Femenino,0,No,No,23,Si,Si,ADSL/Cobre,No,No,No,Si,Si,Si,Plan 12 Meses,Si,Caja Vecina/Servipag,No,36875.0,878300.0,Concepcion
9480-BQJEI,Masculino,0,No,No,62,Si,Si,Fibra Optica,Si,Si,No,No,No,Si,Plan 12 Meses,Si,PAC (Cta Cte),No,46150.0,2865725.0,Concepcion
5394-SVGJV,Masculino,0,No,No,37,Si,Si,Fibra Optica,No,No,No,Si,Si,Si,Sin Contrato/Prepago,No,PAC (Cta Cte),Si,49400.0,1737775.0,San Pedro de la Paz
6979-TNDEU,Femenino,0,No,No,8,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin Contrato/Prepago,No,Caja Vecina/Servipag,No,9600.0,78425.0,Talcahuano
9777-WJJPR,Masculino,0,Si,No,31,Si,Si,Fibra Optica,No,No,Si,No,Si,No,Sin Contrato/Prepago,No,PAT (Tarjeta Credito),No,44325.0,1341600.0,Concepcion
9283-LZQOH,Masculino,0,Si,Si,13,Si,Si,Fibra Optica,No,No,No,No,No,No,Sin Contrato/Prepago,Si,PAT (Tarjeta Credito),Si,37200.0,448375.0,Hualpen
7079-QRCBC,Femenino,0,No,No,24,Si,Si,Fibra Optica,No,No,Si,No,Si,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,49375.0,1203650.0,Hualpen
9495-SKLKD,Masculino,0,Si,Si,45,Si,Si,Fibra Optica,No,Si,Si,No,No,Si,Sin Contrato/Prepago,Si,PAC (Cta Cte),No,47975.0,2228325.0,Concepcion
6048-UWKAL,Femenino,1,Si,No,69,Si,Si,Fibra Optica,No,Si,No,Si,Si,Si,Plan 24 Meses,No,PAT (Tarjeta Credito),No,52700.0,3499475.0,Hualpen
5067-DGXLL,Masculino,0,No,No,2,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin Contrato/Prepago,No,Caja Vecina/Servipag,No,10125.0,18400.0,San Pedro de la Paz
5469-CTCWN,Masculino,0,Si,Si,61,Si,Si,Fibra Optica,Si,Si,No,No,Si,Si,Plan 12 Meses,Si,Transferencia/Webpay,Si,53000.0,3273850.0,Hualpen
9851-QXEEQ,Masculino,0,No,No,41,Si,Si,Fibra Optica,No,Si,Si,No,Si,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,52350.0,2173200.0,San Pedro de la Paz
6281-FKEWS,Femenino,0,No,No,44,No,Sin linea,ADSL/Cobre,No,No,Si,No,Si,Si,Plan 12 Meses,Si,Transferencia/Webpay,No,24525.0,1132500.0,Chiguayante
8898-KASCD,Masculino,0,No,No,39,No,Sin linea,ADSL/Cobre,No,No,Si,Si,No,No,Plan 12 Meses,No,Caja Vecina/Servipag,No,17775.0,654575.0,Talcahuano
9242-TKFSV,Masculino,0,Si,Si,72,No,Sin linea,ADSL/Cobre,Si,Si,Si,Si,Si,Si,Plan 24 Meses,Si,PAT (Tarjeta Credito),No,32550.0,2377150.0,Chiguayante
9290-SHCMB,Femenino,1,No,No,13,Si,No,Fibra Optica,No,No,Si,No,Si,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,No,48425.0,617775.0,San Pedro de la Paz
0743-HNPFG,Femenino,0,Si,Si,51,Si,No,ADSL/Cobre,Si,Si,No,Si,No,Si,Plan 12 Meses,Si,PAT (Tarjeta Credito),No,34875.0,1781250.0,San Pedro de la Paz
2277-BKJKN,Femenino,1,Si,No,71,Si,No,Fibra Optica,No,Si,Si,No,Si,Si,Plan 24 Meses,Si,Transferencia/Webpay,No,49600.0,3606875.0,Concepcion
9809-IMGCQ,Masculino,1,No,No,22,Si,Si,Fibra Optica,No,No,No,No,Si,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,48350.0,1041475.0,Concepcion
5208-HFSBT,Femenino,0,No,No,2,Si,No,ADSL/Cobre,No,Si,No,Si,No,No,Sin Contrato/Prepago,Si,PAT (Tarjeta Credito),Si,27525.0,51375.0,Hualpen
5035-PGZXH,Femenino,0,No,No,56,Si,Si,Fibra Optica,No,Si,Si,No,Si,Si,Plan 12 Meses,Si,Transferencia/Webpay,No,53400.0,2957200.0,Chiguayante
8695-WDYEA,Masculino,0,No,No,1,Si,No,ADSL/Cobre,Si,No,No,No,No,No,Sin Contrato/Prepago,No,Caja Vecina/Servipag,No,25625.0,25625.0,San Pedro de la Paz
6543-JXSOO,Femenino,0,Si,Si,23,Si,No,ADSL/Cobre,Si,Si,No,Si,No,No,Plan 12 Meses,Si,Caja Vecina/Servipag,No,28875.0,641425.0,San Pedro de la Paz
8016-ZMGMO,Femenino,1,Si,No,66,Si,Si,ADSL/Cobre,No,Si,Si,No,Si,No,Plan 12 Meses,Si,PAC (Cta Cte),No,35425.0,2369425.0,Hualpen
8605-ITULD,Femenino,0,No,No,1,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin Contrato/Prepago,No,Caja Vecina/Servipag,No,9775.0,9775.0,Hualpen
3254-YRILK,Masculino,1,No,No,19,Si,Si,Fibra Optica,No,Si,No,No,Si,No,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,44100.0,887900.0,San Pedro de la Paz
6416-YJTTB,Masculino,0,No,No,11,Si,No,Fibra Optica,Si,No,Si,No,No,No,Sin Contrato/Prepago,Si,PAC (Cta Cte),No,39750.0,397825.0,Talcahuano
2667-WYLWJ,Femenino,0,Si,Si,8,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 12 Meses,Si,Caja Vecina/Servipag,Si,9875.0,72500.0,San Pedro de la Paz
4472-VESGY,Femenino,0,Si,Si,52,Si,Si,Fibra Optica,Si,Si,Si,No,No,Si,Sin Contrato/Prepago,No,PAC (Cta Cte),No,49075.0,2496700.0,San Pedro de la Paz
3195-TQDZX,Masculino,0,No,No,3,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin Contrato/Prepago,Si,Transferencia/Webpay,No,10125.0,30725.0,San Pedro de la Paz
3128-YOVTD,Femenino,0,Si,Si,51,Si,No,Fibra Optica,Si,Si,No,No,No,No,Sin Contrato/Prepago,Si,PAC (Cta Cte),No,39575.0,2009275.0,Concepcion
0529-ONKER,Masculino,1,No,No,15,Si,Si,Fibra Optica,No,No,No,No,No,No,Sin Contrato/Prepago,No,Transferencia/Webpay,Si,37825.0,573325.0,Concepcion
1728-CXQBE,Masculino,1,Si,No,64,Si,Si,Fibra Optica,No,Si,Si,No,No,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,No,47125.0,3040700.0,Concepcion
7041-TXQJH,Femenino,0,No,No,37,No,Sin linea,ADSL/Cobre,No,No,Si,No,No,Si,Sin Contrato/Prepago,Si,PAT (Tarjeta Credito),No,20100.0,739425.0,Hualpen
5014-GSOUQ,Masculino,0,No,No,13,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 24 Meses,No,Caja Vecina/Servipag,No,9975.0,121825.0,Concepcion
5724-BIDBU,Masculino,0,Si,No,49,Si,Si,ADSL/Cobre,Si,No,No,No,No,No,Plan 12 Meses,Si,Transferencia/Webpay,No,27675.0,1316975.0,Concepcion
0481-SUMCB,Femenino,1,No,No,45,Si,Si,Fibra Optica,No,No,Si,No,Si,Si,Plan 12 Meses,Si,PAC (Cta Cte),No,51075.0,2367675.0,Talcahuano
1769-GRUIK,Femenino,0,No,No,18,Si,No,Fibra Optica,No,No,No,No,No,No,Sin Contrato/Prepago,Si,Transferencia/Webpay,No,35550.0,623875.0,San Pedro de la Paz
5240-IJOQT,Masculino,1,No,No,1,Si,Si,Fibra Optica,No,No,No,No,No,No,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,37350.0,37350.0,San Pedro de la Paz
8819-WFGGJ,Masculino,0,Si,No,68,No,Sin linea,ADSL/Cobre,Si,No,Si,No,Si,Si,Plan 24 Meses,Si,PAC (Cta Cte),No,27050.0,1897250.0,Chiguayante
7427-AUFPY,Masculino,0,No,No,54,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 24 Meses,No,PAT (Tarjeta Credito),No,9825.0,504350.0,Hualpen
2811-POVEX,Femenino,1,Si,Si,23,Si,No,Fibra Optica,No,Si,Si,No,No,Si,Sin Contrato/Prepago,Si,PAC (Cta Cte),No,44225.0,1065275.0,San Pedro de la Paz
1092-GANHU,Masculino,0,No,No,17,Si,No,Fibra Optica,No,No,Si,No,No,No,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,38325.0,656775.0,San Pedro de la Paz
7898-PDWQE,Masculino,0,Si,No,71,Si,Si,ADSL/Cobre,Si,Si,Si,Si,No,Si,Plan 24 Meses,No,PAT (Tarjeta Credito),No,40200.0,2863575.0,Chiguayante
9972-EWRJS,Femenino,0,Si,Si,67,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 24 Meses,Si,PAC (Cta Cte),No,9625.0,686450.0,San Pedro de la Paz
9314-IJWSQ,Femenino,0,Si,Si,14,Si,Si,Fibra Optica,No,No,No,No,Si,No,Sin Contrato/Prepago,Si,Transferencia/Webpay,No,42400.0,601950.0,Hualpen
0661-XEYAN,Femenino,1,No,No,1,No,Sin linea,ADSL/Cobre,No,No,No,No,No,No,Sin Contrato/Prepago,Si,Caja Vecina/Servipag,Si,12900.0,12900.0,Concepcion
5799-JRCZO,Femenino,0,No,Si,63,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 24 Meses,No,PAT (Tarjeta Credito),No,9750.0,607550.0,Concepcion
1921-KYSAY,Femenino,0,No,No,41,Si,Si,ADSL/Cobre,No,No,Si,Si,No,Si,Plan 12 Meses,Si,Transferencia/Webpay,No,34300.0,1438525.0,Hualpen
6198-RTPMF,Femenino,0,Si,No,17,Si,Si,Fibra Optica,No,No,No,No,Si,Si,Sin Contrato/Prepago,No,Transferencia/Webpay,No,46300.0,789850.0,Hualpen
2924-KHUVI,Masculino,0,Si,No,56,Si,Si,Fibra Optica,Si,No,No,No,Si,Si,Plan 12 Meses,Si,Transferencia/Webpay,No,50275.0,2757475.0,Chiguayante
1925-GMVBW,Femenino,0,No,No,5,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin Contrato/Prepago,No,PAT (Tarjeta Credito),No,10275.0,48050.0,Hualpen
7881-EVUAD,Femenino,0,No,No,2,No,Sin linea,ADSL/Cobre,Si,Si,No,No,No,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,21300.0,36200.0,Talcahuano
6184-DYUOB,Femenino,0,Si,No,3,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin Contrato/Prepago,Si,Caja Vecina/Servipag,No,9800.0,27625.0,Concepcion
9207-ZPANB,Masculino,0,No,No,37,Si,Si,ADSL/Cobre,Si,Si,Si,Si,No,No,Plan 12 Meses,No,Transferencia/Webpay,No,33725.0,1221650.0,San Pedro de la Paz
5766-XQXMQ,Femenino,0,No,No,29,Si,No,ADSL/Cobre,Si,Si,Si,No,No,Si,Sin Contrato/Prepago,Si,PAC (Cta Cte),Si,34425.0,985250.0,Talcahuano
9327-QSDED,Masculino,0,No,No,8,Si,No,ADSL/Cobre,No,No,No,No,No,No,Sin Contrato/Prepago,No,Caja Vecina/Servipag,No,21775.0,167700.0,Hualpen
1656-DRSMG,Femenino,0,No,No,63,Si,Si,Fibra Optica,No,Si,Si,Si,Si,Si,Sin Contrato/Prepago,Si,PAT (Tarjeta Credito),No,54925.0,3501475.0,Talcahuano
3012-VFFMN,Femenino,0,Si,Si,7,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin Contrato/Prepago,No,Caja Vecina/Servipag,No,10325.0,79475.0,Chiguayante
2984-AFWNC,Femenino,0,No,No,3,Si,No,Fibra Optica,No,Si,No,No,Si,Si,Sin Contrato/Prepago,No,Transferencia/Webpay,No,47700.0,146575.0,Chiguayante
0640-YJTPY,Masculino,0,Si,Si,72,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 24 Meses,No,PAC (Cta Cte),No,10500.0,746875.0,San Pedro de la Paz
8096-LOIST,Femenino,0,No,No,19,Si,No,ADSL/Cobre,No,No,No,No,No,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,No,28100.0,546700.0,Hualpen
9764-REAFF,Femenino,0,Si,No,59,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 24 Meses,No,PAC (Cta Cte),No,9200.0,528925.0,Chiguayante
3703-VAVCL,Masculino,0,Si,Si,2,Si,No,Fibra Optica,No,No,Si,Si,No,Si,Sin Contrato/Prepago,No,PAT (Tarjeta Credito),Si,45000.0,95025.0,Talcahuano
7107-UBYKY,Femenino,0,Si,Si,35,Si,Si,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin Contrato/Prepago,Si,Transferencia/Webpay,No,12875.0,441275.0,Concepcion
4881-GQJTW,Masculino,0,No,No,14,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin Contrato/Prepago,No,PAT (Tarjeta Credito),No,9800.0,150200.0,Concepcion
8519-QJGJD,Femenino,0,No,No,14,Si,No,Fibra Optica,No,No,Si,No,No,No,Sin Contrato/Prepago,No,Transferencia/Webpay,Si,37675.0,512975.0,Concepcion
7876-DNYAP,Femenino,0,Si,Si,69,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 24 Meses,No,PAT (Tarjeta Credito),No,9900.0,718475.0,Concepcion
7905-NJMXS,Masculino,1,Si,No,7,Si,Si,ADSL/Cobre,Si,Si,No,Si,No,No,Sin Contrato/Prepago,No,Transferencia/Webpay,No,32100.0,237500.0,Chiguayante
2882-WDTBA,Masculino,0,Si,Si,69,Si,No,ADSL/Cobre,Si,Si,Si,Si,Si,No,Plan 24 Meses,Si,PAC (Cta Cte),No,37875.0,2694075.0,Chiguayante
2091-GPPIQ,Femenino,0,Si,Si,72,Si,Si,ADSL/Cobre,No,Si,No,Si,Si,Si,Plan 24 Meses,Si,Transferencia/Webpay,No,39475.0,2865075.0,Talcahuano
6326-MTTXK,Masculino,0,No,No,8,Si,Si,Fibra Optica,No,Si,No,No,Si,Si,Sin Contrato/Prepago,No,Transferencia/Webpay,Si,50425.0,409775.0,Concepcion
5071-FBJFS,Femenino,0,Si,Si,4,Si,No,ADSL/Cobre,Si,No,No,No,No,No,Sin Contrato/Prepago,No,Transferencia/Webpay,No,25150.0,108550.0,Talcahuano
2796-UUZZO,Masculino,0,Si,Si,63,Si,No,Fibra Optica,No,Si,Si,No,No,No,Sin Contrato/Prepago,Si,PAT (Tarjeta Credito),No,40150.0,2448175.0,Concepcion
2429-AYKKO,Masculino,0,No,No,72,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 24 Meses,No,PAC (Cta Cte),No,9925.0,717050.0,Concepcion
9798-OPFEM,Femenino,0,No,No,46,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 24 Meses,Si,Transferencia/Webpay,No,10550.0,468550.0,Chiguayante
0330-IVZHA,Femenino,0,Si,No,5,Si,No,Fibra Optica,No,No,No,No,No,No,Sin Contrato/Prepago,No,Transferencia/Webpay,Si,34975.0,165075.0,Concepcion
3794-NFNCH,Masculino,0,Si,No,30,Si,No,ADSL/Cobre,No,No,Si,No,No,No,Sin Contrato/Prepago,Si,Caja Vecina/Servipag,No,25000.0,737450.0,Concepcion
5193-QLVZB,Masculino,0,No,No,63,Si,Si,Fibra Optica,No,Si,Si,No,Si,Si,Plan 24 Meses,Si,PAC (Cta Cte),No,52375.0,3268250.0,San Pedro de la Paz
7114-AEOZE,Femenino,0,No,No,60,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 24 Meses,No,PAC (Cta Cte),No,9925.0,564050.0,San Pedro de la Paz
2886-KEFUM,Femenino,0,Si,No,63,Si,Si,Fibra Optica,No,Si,Si,No,Si,Si,Plan 12 Meses,Si,Transferencia/Webpay,Si,53750.0,3436875.0,Chiguayante
5522-NYKPB,Masculino,0,Si,Si,25,Si,No,Fibra Optica,No,No,No,Si,Si,No,Sin Contrato/Prepago,No,Transferencia/Webpay,No,42950.0,1099525.0,San Pedro de la Paz
4237-RLAQD,Masculino,0,No,No,1,Si,No,ADSL/Cobre,No,No,No,No,No,No,Sin Contrato/Prepago,Si,Caja Vecina/Servipag,Si,22925.0,22925.0,Talcahuano
9957-YODKZ,Masculino,1,Si,No,6,Si,Si,Fibra Optica,No,No,Si,No,No,No,Sin Contrato/Prepago,Si,Transferencia/Webpay,No,40400.0,228550.0,Hualpen
6518-KZXCB,Masculino,0,No,No,22,Si,Si,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 24 Meses,No,Caja Vecina/Servipag,No,12625.0,283250.0,San Pedro de la Paz
2245-ADZFJ,Femenino,0,Si,Si,31,Si,Si,ADSL/Cobre,No,Si,No,Si,Si,Si,Plan 24 Meses,No,PAC (Cta Cte),No,40275.0,1235800.0,Talcahuano
7776-QGYJC,Femenino,0,Si,Si,39,Si,No,Fibra Optica,No,No,Si,Si,No,No,Sin Contrato/Prepago,Si,PAC (Cta Cte),No,40750.0,1553650.0,Concepcion
9313-QOLTZ,Masculino,0,No,No,26,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin Contrato/Prepago,No,Caja Vecina/Servipag,No,10450.0,259150.0,San Pedro de la Paz
9651-GTSAQ,Femenino,0,Si,No,53,Si,No,Fibra Optica,Si,Si,Si,No,Si,Si,Plan 12 Meses,Si,PAC (Cta Cte),Si,53050.0,2884875.0,Concepcion
3186-BAXNB,Femenino,0,No,No,1,Si,No,Fibra Optica,No,Si,No,Si,Si,No,Sin Contrato/Prepago,No,Transferencia/Webpay,Si,45850.0,45850.0,Concepcion
4672-FOTSD,Masculino,0,No,No,12,Si,Si,ADSL/Cobre,Si,Si,No,Si,No,No,Sin Contrato/Prepago,Si,Transferencia/Webpay,No,33625.0,416150.0,Talcahuano
0637-YLETY,Femenino,0,No,No,16,Si,Si,Fibra Optica,No,Si,Si,No,No,Si,Sin Contrato/Prepago,Si,PAT (Tarjeta Credito),Si,47800.0,777825.0,Concepcion
9818-XQCUV,Femenino,0,No,No,2,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin Contrato/Prepago,No,Caja Vecina/Servipag,No,10175.0,22650.0,Talcahuano
7338-ERIVA,Masculino,0,No,Si,39,No,Sin linea,ADSL/Cobre,Si,No,No,Si,Si,No,Plan 12 Meses,No,PAC (Cta Cte),No,22525.0,895300.0,Talcahuano
1157-BQCUW,Masculino,0,No,No,1,Si,Si,Fibra Optica,No,No,No,No,No,No,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,37475.0,37475.0,Chiguayante
8259-NFJTV,Femenino,0,Si,Si,7,No,Sin linea,ADSL/Cobre,Si,No,No,Si,No,No,Sin Contrato/Prepago,No,Caja Vecina/Servipag,No,17325.0,123300.0,Hualpen
3223-DWFIO,Masculino,1,No,No,4,Si,No,Fibra Optica,No,No,No,No,No,No,Sin Contrato/Prepago,No,Transferencia/Webpay,No,34675.0,130825.0,Chiguayante
2660-EMUBI,Masculino,1,No,No,10,Si,Si,Fibra Optica,No,No,No,No,Si,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,Si,47675.0,449175.0,Hualpen
6968-GMKPR,Femenino,0,No,No,55,Si,No,Fibra Optica,No,Si,Si,No,No,No,Sin Contrato/Prepago,Si,Transferencia/Webpay,No,40775.0,2254750.0,Concepcion
4751-ERMAN,Masculino,0,Si,Si,72,Si,No,ADSL/Cobre,No,Si,Si,No,Si,Si,Plan 24 Meses,Si,PAC (Cta Cte),No,37700.0,2740125.0,San Pedro de la Paz
1436-ZMJAN,Femenino,0,Si,No,10,Si,No,ADSL/Cobre,No,No,Si,No,Si,Si,Sin Contrato/Prepago,Si,PAT (Tarjeta Credito),No,33900.0,326575.0,Concepcion
3292-PBZEJ,Masculino,1,No,No,11,Si,Si,Fibra Optica,No,Si,Si,Si,Si,Si,Sin Contrato/Prepago,Si,Transferencia/Webpay,No,55700.0,591525.0,San Pedro de la Paz
0799-DDIHE,Femenino,0,Si,Si,15,Si,No,ADSL/Cobre,No,No,No,No,No,No,Sin Contrato/Prepago,No,Transferencia/Webpay,No,23150.0,319725.0,Hualpen
3070-FNFZQ,Femenino,0,Si,Si,23,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 24 Meses,No,PAC (Cta Cte),No,10200.0,239375.0,Concepcion
2812-SFXMJ,Masculino,0,No,Si,1,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin Contrato/Prepago,No,Caja Vecina/Servipag,No,10025.0,10025.0,Talcahuano
7675-OZCZG,Femenino,1,No,No,3,Si,No,ADSL/Cobre,No,No,No,No,No,No,Sin Contrato/Prepago,No,Transferencia/Webpay,Si,22500.0,63550.0,Hualpen
5014-WUQMG,Masculino,0,Si,Si,47,Si,No,Fibra Optica,Si,Si,Si,No,No,Si,Plan 12 Meses,Si,Transferencia/Webpay,No,48050.0,2195725.0,Concepcion
5312-TSZVC,Femenino,0,No,Si,15,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Plan 12 Meses,No,Caja Vecina/Servipag,No,9825.0,135300.0,Hualpen
2003-CKLOR,Masculino,0,No,No,66,Si,No,Fibra Optica,No,Si,Si,No,Si,Si,Sin Contrato/Prepago,No,Transferencia/Webpay,Si,49750.0,3355250.0,San Pedro de la Paz
0993-OSGPT,Femenino,1,Si,No,68,Si,No,ADSL/Cobre,No,Si,Si,Si,No,No,Plan 12 Meses,Si,PAC (Cta Cte),No,30325.0,1987950.0,San Pedro de la Paz
